Date;Price;Open;High;Low;Vol.;Change
05/02/2014;453.7;460.1;463.4;442.0;3.38*1000;-1.40*0.01
05/01/2014;460.1;445.6;464.5;444.5;4.20*1000;3.25*0.01
04/30/2014;445.6;446.1;452.6;430.9;4.08*1000;-0.11*0.01
04/29/2014;446.1;441.9;453.8;430.7;3.72*1000;0.95*0.01
04/28/2014;441.9;443.2;451.1;420.8;4.54*1000;-0.28*0.01
04/27/2014;443.2;457.9;461.4;437.4;6.96*1000;-3.21*0.01
04/26/2014;457.9;464.5;468.7;448.6;6.89*1000;-1.43*0.01
04/25/2014;464.5;500.3;502.5;438.3;6.45*1000;-7.16*0.01
04/24/2014;500.3;487.3;507.3;477.2;4.23*1000;2.67*0.01
04/23/2014;487.3;487.9;510.0;482.3;4.74*1000;-0.13*0.01
04/22/2014;487.9;495.2;520.5;483.4;5.68*1000;-1.46*0.01
04/21/2014;495.2;498.5;524.7;490.7;7.35*1000;-0.67*0.01
04/20/2014;498.5;506.0;522.2;488.7;7.69*1000;-1.48*0.01
04/19/2014;506.0;485.5;516.9;473.2;8.38*1000;4.22*0.01
04/18/2014;485.5;502.0;512.2;472.0;8.36*1000;-3.28*0.01
04/17/2014;502.0;537.0;537.0;486.9;8.00*1000;-6.51*0.01
04/16/2014;537.0;526.4;549.0;496.1;8.06*1000;2.00*0.01
04/15/2014;526.4;478.4;526.6;466.4;8.00*1000;10.04*0.01
04/14/2014;478.4;427.6;497.8;420.1;7.62*1000;11.88*0.01
04/13/2014;427.6;437.6;454.1;409.9;4.97*1000;-2.30*0.01
04/12/2014;437.6;435.1;469.8;428.0;5.19*1000;0.58*0.01
04/11/2014;435.1;384.6;450.4;355.7;5.16*1000;13.13*0.01
04/10/2014;384.6;457.3;463.5;384.6;3.65*1000;-15.90*0.01
04/09/2014;457.3;466.6;479.7;451.1;3.88*1000;-1.98*0.01
04/08/2014;466.6;462.4;480.7;457.6;3.91*1000;0.90*0.01
04/07/2014;462.4;455.7;485.1;448.0;3.95*1000;1.47*0.01
04/06/2014;455.7;456.6;472.4;446.3;3.59*1000;-0.21*0.01
04/05/2014;456.6;444.4;461.2;439.4;1.16*1000;2.76*0.01
04/04/2014;444.4;436.3;456.5;415.5;2.57*1000;1.85*0.01
04/03/2014;436.3;424.4;448.7;386.7;4.02*1000;2.81*0.01
04/02/2014;424.4;463.5;480.3;409.3;4.38*1000;-8.43*0.01
04/01/2014;463.5;444.7;487.4;438.0;3.97*1000;4.23*0.01
03/31/2014;444.7;446.9;473.4;422.5;4.15*1000;-0.51*0.01
03/30/2014;446.9;477.1;479.0;424.0;3.86*1000;-6.33*0.01
03/29/2014;477.1;482.6;494.3;473.8;4.29*1000;-1.14*0.01
03/28/2014;482.6;460.5;515.0;453.8;4.11*1000;4.81*0.01
03/27/2014;460.5;562.5;567.8;460.5;3.78*1000;-18.13*0.01
03/26/2014;562.5;562.9;575.4;546.3;3.71*1000;-0.08*0.01
03/25/2014;562.9;567.6;569.7;550.4;3.87*1000;-0.82*0.01
03/24/2014;567.6;551.2;572.5;531.3;3.67*1000;2.98*0.01
03/23/2014;551.2;564.3;564.3;538.6;4.13*1000;-2.34*0.01
03/22/2014;564.3;549.6;570.0;537.2;3.77*1000;2.68*0.01
03/21/2014;549.6;566.0;587.4;540.2;3.82*1000;-2.90*0.01
03/20/2014;566.0;595.0;598.4;560.3;4.24*1000;-4.87*0.01
03/19/2014;595.0;598.9;607.1;590.1;3.58*1000;-0.66*0.01
03/18/2014;598.9;606.4;611.7;585.7;3.65*1000;-1.23*0.01
